trade_date,code,close,low,high,volume,amount,vwap,ratio,matched_factor,matched_after,matched_before
1992-06-23,600608.SH,189.75,187.25,192.5,147600.0,2808000.0,19.02439,0.10026,0.1,1992-05-21,1992-12-01
1992-06-23,600651.SH,279.9,278.0,285.0,77400.0,2173000.0,28.074935,0.100303,0.1,1991-09-02,1992-12-01
1992-06-23,600653.SH,347.0,343.55,355.5,331000.0,11476000.0,34.670695,0.099916,0.1,1992-04-01,1992-12-01
1992-06-23,600654.SH,163.0,162.1,165.75,74000.0,1215000.0,16.418919,0.10073,0.1,1992-06-01,1992-12-01
1992-06-24,000017.SZ,19.8,19.5,20.65,60500.0,6005000.0,99.256198,5.012939,5.0,1992-04-01,1993-05-01
1992-06-24,600601.SH,154.65,151.5,156.0,58700.0,909000.0,15.48552,0.100133,0.1,1991-07-01,1992-12-01
1992-06-24,600602.SH,2073.0,2060.0,2099.25,276800.0,5747000.0,20.762283,0.010016,0.01,1991-01-03,1992-12-01
1992-06-24,600603.SH,350.0,346.75,353.0,69600.0,2432000.0,34.942529,0.099836,0.1,1992-05-08,1992-12-01
1992-06-24,600604.SH,254.2,251.5,258.5,252800.0,6435000.0,25.454905,0.100137,0.1,1992-05-11,1992-12-01
1992-06-24,600605.SH,163.0,160.0,165.0,112000.0,1825000.0,16.294643,0.099967,0.1,1992-05-13,1992-12-01
1992-06-24,600606.SH,203.95,200.0,205.65,89200.0,1819000.0,20.392377,0.099987,0.1,1992-05-21,1992-12-01
1992-06-24,600608.SH,189.0,186.0,190.45,130100.0,2452000.0,18.847041,0.09972,0.1,1992-05-21,1992-12-01
1992-06-24,600651.SH,284.0,275.0,284.0,87300.0,2449000.0,28.052692,0.098777,0.1,1991-09-02,1992-12-01
1992-06-24,600653.SH,354.0,344.0,357.0,139600.0,4880000.0,34.95702,0.098749,0.1,1992-04-01,1992-12-01
1992-06-24,600654.SH,161.0,160.0,163.0,63300.0,1023000.0,16.161137,0.10038,0.1,1992-06-01,1992-12-01
1992-06-25,000017.SZ,20.0,19.5,20.5,56800.0,5707000.0,100.475352,5.023768,5.0,1992-04-01,1993-05-01
1992-06-25,600601.SH,154.5,154.0,156.0,75100.0,1162000.0,15.472703,0.100147,0.1,1991-07-01,1992-12-01
1992-06-25,600602.SH,2090.0,2060.0,2090.0,253800.0,5271000.0,20.768322,0.009937,0.01,1991-01-03,1992-12-01
1992-06-25,600603.SH,352.0,324.77,353.0,74800.0,2625000.0,35.093583,0.099698,0.1,1992-05-08,1992-12-01
1992-06-25,600604.SH,256.0,250.0,258.0,227900.0,5812000.0,25.502413,0.099619,0.1,1992-05-11,1992-12-01
1992-06-25,600605.SH,164.8,162.03,166.0,62800.0,1028000.0,16.369427,0.099329,0.1,1992-05-13,1992-12-01
1992-06-25,600606.SH,203.9,200.0,205.98,57200.0,1164000.0,20.34965,0.099802,0.1,1992-05-21,1992-12-01
1992-06-25,600608.SH,188.98,170.0,189.5,226000.0,4251000.0,18.809735,0.099533,0.1,1992-05-21,1992-12-01
1992-06-25,600651.SH,288.5,282.0,289.0,148500.0,4240000.0,28.552189,0.098968,0.1,1991-09-02,1992-12-01
1992-06-25,600653.SH,368.0,349.0,368.0,463700.0,16805000.0,36.241104,0.098481,0.1,1992-04-01,1992-12-01
1992-06-25,600654.SH,161.0,159.0,163.0,58200.0,937000.0,16.099656,0.099998,0.1,1992-06-01,1992-12-01
1992-06-26,000017.SZ,20.95,20.0,21.0,133000.0,13868000.0,104.270677,4.977121,5.0,1992-04-01,1993-05-01
1992-06-26,600601.SH,155.0,153.5,156.0,109700.0,1696000.0,15.460346,0.099744,0.1,1991-07-01,1992-12-01
1992-06-26,600602.SH,2089.0,2067.5,2135.0,303000.0,6341000.0,20.927393,0.010018,0.01,1991-01-03,1992-12-01
1992-06-26,600603.SH,355.0,352.0,358.0,113800.0,4034000.0,35.448155,0.099854,0.1,1992-05-08,1992-12-01
1992-06-26,600604.SH,256.5,255.0,259.0,184200.0,4729000.0,25.673181,0.10009,0.1,1992-05-11,1992-12-01
1992-06-26,600605.SH,165.0,164.0,167.0,63000.0,1038000.0,16.47619,0.099856,0.1,1992-05-13,1992-12-01
1992-06-26,600606.SH,204.0,203.25,205.5,73200.0,1494000.0,20.409836,0.100048,0.1,1992-05-21,1992-12-01
1992-06-26,600608.SH,190.5,188.8,191.5,271600.0,5157000.0,18.987482,0.099672,0.1,1992-05-21,1992-12-01
1992-06-26,600651.SH,305.98,286.75,306.0,389900.0,11622000.0,29.807643,0.097417,0.1,1991-09-02,1992-12-01
1992-06-26,600653.SH,374.0,369.75,375.5,368500.0,13750000.0,37.313433,0.099769,0.1,1992-04-01,1992-12-01
1992-06-26,600654.SH,164.5,159.0,310.5,172500.0,2787000.0,16.156522,0.098216,0.1,1992-06-01,1992-12-01
1992-06-29,000017.SZ,23.3,21.0,24.0,134500.0,15241000.0,113.315985,4.863347,5.0,1992-04-01,1993-05-01
1992-06-29,600601.SH,172.0,156.8,175.0,438400.0,7219000.0,16.466697,0.095737,0.1,1991-07-01,1992-12-01
1992-06-29,600602.SH,2082.0,2070.0,2100.0,493100.0,10281000.0,20.849726,0.010014,0.01,1991-01-03,1992-12-01
1992-06-29,600603.SH,355.8,354.4,365.1,263700.0,9456000.0,35.858931,0.100784,0.1,1992-05-08,1992-12-01
1992-06-29,600604.SH,255.0,253.25,258.0,318400.0,8128000.0,25.527638,0.100108,0.1,1992-05-11,1992-12-01
1992-06-29,600605.SH,164.55,160.0,166.25,123500.0,2030000.0,16.437247,0.099892,0.1,1992-05-13,1992-12-01
1992-06-29,600606.SH,206.9,200.0,209.0,125200.0,2576000.0,20.57508,0.099445,0.1,1992-05-21,1992-12-01
1992-06-29,600608.SH,191.0,189.5,193.5,348100.0,6647000.0,19.095088,0.099974,0.1,1992-05-21,1992-12-01
1992-06-29,600651.SH,352.0,310.5,352.03,548700.0,18456000.0,33.635867,0.095556,0.1,1991-09-02,1992-12-01
1992-06-29,600653.SH,375.0,370.0,382.45,295700.0,11078000.0,37.463646,0.099903,0.1,1992-04-01,1992-12-01
1992-06-29,600654.SH,169.0,128.4,254.0,317000.0,5311000.0,16.753943,0.099136,0.1,1992-06-01,1992-12-01
1992-06-30,000017.SZ,24.05,23.45,24.5,193000.0,23119000.0,119.787565,4.980772,5.0,1992-04-01,1993-05-01
1992-06-30,600601.SH,179.45,175.0,186.5,849900.0,15533000.0,18.276268,0.101846,0.1,1991-07-01,1992-12-01
1992-06-30,600602.SH,2092.5,2078.0,2105.0,711100.0,14855000.0,20.89017,0.009983,0.01,1991-01-03,1992-12-01
1992-06-30,600603.SH,360.5,354.0,362.5,374000.0,13454000.0,35.973262,0.099787,0.1,1992-05-08,1992-12-01
1992-06-30,600604.SH,255.0,252.5,259.5,459800.0,11779000.0,25.61766,0.100461,0.1,1992-05-11,1992-12-01
1992-06-30,600605.SH,170.05,165.0,172.0,183900.0,3093000.0,16.818923,0.098906,0.1,1992-05-13,1992-12-01
1992-06-30,600606.SH,215.4,205.02,217.5,247700.0,5236000.0,21.138474,0.098136,0.1,1992-05-21,1992-12-01
1992-06-30,600608.SH,203.03,190.55,208.0,533800.0,10421000.0,19.522293,0.096155,0.1,1992-05-21,1992-12-01
1992-06-30,600651.SH,360.0,324.75,379.0,571400.0,21044000.0,36.828841,0.102302,0.1,1991-09-02,1992-12-01
1992-06-30,600653.SH,378.0,374.0,381.0,368700.0,13963000.0,37.870898,0.100188,0.1,1992-04-01,1992-12-01
1992-06-30,600654.SH,182.0,172.0,186.5,719000.0,13098000.0,18.216968,0.100093,0.1,1992-06-01,1992-12-01
1992-07-01,000017.SZ,23.0,22.45,24.25,173400.0,20330000.0,117.243368,5.097538,5.0,1992-04-01,1993-05-01
1992-07-01,600601.SH,172.0,170.55,186.5,270200.0,4763000.0,17.627683,0.102487,0.1,1991-07-01,1992-12-01
1992-07-01,600602.SH,2145.0,2090.0,2220.0,717700.0,15475000.0,21.561934,0.010052,0.01,1991-01-03,1992-12-01
1992-07-01,600603.SH,363.0,361.0,370.0,156600.0,5693000.0,36.353768,0.100148,0.1,1992-05-08,1992-12-01
1992-07-01,600604.SH,258.0,255.5,261.1,386300.0,10004000.0,25.896971,0.100376,0.1,1992-05-11,1992-12-01
1992-07-01,600605.SH,175.0,171.5,180.5,333800.0,5897000.0,17.666267,0.10095,0.1,1992-05-13,1992-12-01
1992-07-01,600606.SH,220.0,217.0,229.95,299600.0,6608000.0,22.056075,0.100255,0.1,1992-05-21,1992-12-01
1992-07-01,600608.SH,213.5,205.0,216.25,793600.0,16842000.0,21.222278,0.099402,0.1,1992-05-21,1992-12-01
1992-07-01,600651.SH,369.0,320.0,375.25,421400.0,15533000.0,36.860465,0.099893,0.1,1991-09-02,1992-12-01
1992-07-01,600653.SH,373.0,370.0,380.5,181500.0,6804000.0,37.487603,0.100503,0.1,1992-04-01,1992-12-01
1992-07-01,600654.SH,177.5,176.05,186.0,290900.0,5225000.0,17.961499,0.101192,0.1,1992-06-01,1992-12-01
1992-07-02,000017.SZ,22.8,22.0,22.95,133300.0,15055000.0,112.940735,4.953541,5.0,1992-04-01,1993-05-01
1992-07-02,600601.SH,170.25,166.75,173.75,198200.0,3356000.0,16.932392,0.099456,0.1,1991-07-01,1992-12-01
