时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
93000340,0,695485,0,S,123500,3500
93000350,0,695749,0,B,120200,500
93000350,0,696456,0,B,119000,300
93000350,0,696481,0,B,117600,100
93000350,0,696600,0,B,122000,500
93000350,0,697118,0,B,120500,1700
93000360,0,698564,0,B,122000,10000
93000360,0,698846,0,S,130500,3000
93000360,0,699114,0,S,129000,100
93000360,0,699138,0,B,114800,4000
93000370,0,699973,0,S,125000,200
93000370,0,700795,0,S,122000,1300
93000380,0,702284,0,B,120500,1000
93000380,0,702404,0,S,126500,4500
93000380,0,702438,0,B,120000,600
93000390,0,703537,0,B,116300,200
93000390,0,703771,0,B,120800,1000
93000390,0,703986,0,B,119500,2500
93000390,0,704014,0,S,134900,900
93000390,0,704222,0,B,120000,1000
93000390,0,705079,0,S,128000,1700
93000390,0,705189,0,S,124900,3000
93000390,0,705190,0,S,131500,200
93000400,0,705864,0,B,116800,400
93000400,0,706474,0,B,115900,500
93000400,0,706926,0,S,132000,100
93000400,0,707122,0,B,119000,1400
93000410,0,707967,0,S,121600,1200
93000410,0,708050,0,B,121800,1000
93000410,0,708220,0,B,118900,3100
93000410,0,708374,0,S,121800,4700
93000410,0,708524,0,S,134900,400
93000410,0,708667,0,B,121000,100
93000420,0,709042,0,B,122600,30000
93000420,0,709663,0,B,117000,1000
93000420,0,709899,0,B,122100,1000
93000420,0,710250,0,S,134600,4000
93000420,0,710464,0,B,116000,2000
93000420,0,710600,0,B,121300,800
93000430,0,711191,0,B,121200,1700
93000430,0,711924,0,B,122400,2200
93000430,0,712490,0,B,121200,100
93000440,0,712749,0,B,121900,3000
93000440,0,713725,0,S,134900,1000
93000440,0,713966,0,B,120200,600
93000440,0,714198,0,B,117500,1000
93000440,0,714422,0,B,120000,1000
93000450,0,715420,0,S,130000,500
93000450,0,715528,0,B,118500,1000
93000450,0,715706,0,B,120500,500
93000460,0,716534,0,S,131000,500
93000460,0,716756,0,S,122000,500
93000460,0,716854,0,B,118100,500
93000460,0,717729,0,S,124200,2000
93000470,0,718683,0,B,122500,3800
93000470,0,718799,0,S,134600,800
93000480,0,720339,0,B,122100,5000
93000480,0,720640,0,B,120500,1900
93000480,0,721513,0,B,120000,25300
93000480,0,721559,0,B,120000,25000
93000480,0,721952,0,B,121900,2000
93000490,0,722485,0,B,119800,200
93000490,0,722872,0,B,120000,300
93000490,0,723175,0,B,122000,200
93000510,0,725388,0,B,118000,600
93000510,0,725603,0,B,119000,400
93000510,0,726021,0,S,121800,1000
93000510,0,726168,0,B,122100,2000
93000510,0,726236,0,S,122400,400
93000510,0,726255,0,S,122400,8200
93000520,0,726951,0,S,122100,3900
93000520,0,727353,0,B,120900,800
93000520,0,727762,0,B,119800,30000
93000520,0,727827,0,B,120000,4000
93000520,0,728377,0,B,112000,1000
93000530,0,729029,0,B,119400,1300
93000530,0,729170,0,S,132000,1000
93000530,0,729569,0,B,120000,1000
93000530,0,729709,0,S,123800,3000
93000530,0,729714,0,B,122500,5000
93000540,0,730324,0,B,122500,1700
93000540,0,730736,0,S,134600,2200
93000540,0,730960,0,B,119900,1000
93000540,0,731719,0,B,122900,400
93000550,0,732128,0,B,124800,1000
93000550,0,732293,0,S,121600,3000
93000550,0,732479,0,S,122800,2000
93000550,0,732779,0,B,122500,1900
93000550,0,732792,0,B,122000,2000
93000550,0,734346,0,B,122200,2100
93000560,0,734415,0,B,119100,1000
93000560,0,734989,0,B,120500,4400
93000560,0,735109,0,S,133000,1000
93000560,0,736419,0,S,134000,1000
93000570,0,736912,0,B,122600,1700
93000570,0,738130,0,B,122500,500
93000570,0,738330,0,B,119800,100
93000580,0,738688,0,S,122400,800
93000580,0,739011,0,S,123800,1000
93000580,0,739203,0,S,124600,1000
93000580,0,739316,0,S,122300,100
93000580,0,740248,0,B,122500,4000
93000580,0,740462,0,B,122600,500
93000590,0,740996,0,B,120100,5000
93000590,0,741069,0,S,125700,1000
93000590,0,741434,0,B,119800,1000
93000590,0,741749,0,S,122300,300
93000590,0,742604,0,B,121800,1400
93000590,0,742671,0,B,121000,10000
93000590,0,742934,0,S,130000,7000
93000600,0,743926,0,S,123800,6900
93000600,0,743933,0,B,120200,200
93000600,0,744111,0,B,119000,900
93000600,0,744359,0,S,122900,1400
93000600,0,744677,0,S,122300,200
93000610,0,745251,0,S,132000,1800
93000610,0,746081,0,S,134900,1000
93000610,0,746399,0,B,120000,1000
93000610,0,746644,0,B,115100,300
93000620,0,747948,0,S,125100,13500
93000620,0,748034,0,S,122000,5000
93000630,0,748870,0,B,122000,600
93000630,0,748950,0,B,122000,1000
93000630,0,749070,0,B,122000,1000
93000630,0,749478,0,S,124000,600
93000630,0,749761,0,B,120100,1000
93000630,0,749961,0,B,121900,4900
93000630,0,749977,0,B,120300,2000
93000640,0,750112,0,B,121100,2000
93000640,0,750744,0,B,121300,300
93000640,0,750828,0,B,117000,1000
93000640,0,751364,0,B,118000,1500
93000650,0,751763,0,B,120500,1000
93000650,0,752453,0,B,122500,300
93000650,0,752676,0,S,122300,300
93000650,0,752804,0,B,120100,500
93000660,0,753640,0,B,121800,300
93000660,0,753818,0,S,122500,1000
93000660,0,754531,0,B,120900,100
93000660,0,754622,0,B,121100,300
93000660,0,754636,0,B,121900,2000
93000670,0,754992,0,B,120300,800
93000670,0,755377,0,B,122000,100
93000670,0,755511,0,S,122000,1700
93000670,0,755604,0,B,120500,500
93000670,0,755876,0,S,126000,16000
93000670,0,756201,0,B,119000,500
93000680,0,756747,0,B,121200,300
93000680,0,756826,0,S,129700,7500
93000690,0,758448,0,S,134900,600
93000700,0,760348,0,B,116000,1000
93000700,0,760572,0,S,122400,200
93000710,0,761958,0,S,129500,7500
93000710,0,762009,0,B,120500,5000
93000710,0,762172,0,B,121600,1000
93000710,0,762265,0,S,125000,500
93000710,0,762356,0,S,123600,2000
93000710,0,762542,0,S,122000,1300
93000710,0,763115,0,S,121000,400
93000710,0,763292,0,B,120100,900
93000710,0,763303,0,S,123700,2600
93000720,0,764305,0,B,122500,300
93000720,0,764581,0,B,122100,200
93000720,0,765471,0,S,126800,500
93000730,0,765961,0,S,134900,3000
93000730,0,766055,0,B,121000,10400
93000730,0,766395,0,S,126600,1200
93000730,0,766624,0,B,116000,500
93000730,0,766908,0,S,123200,1000
93000730,0,767080,0,B,120400,1000
93000750,0,769592,0,B,122500,500
93000760,0,770210,0,B,122100,100
93000760,0,770757,0,S,134900,500
93000760,0,770853,0,B,119000,1000
93000770,0,771912,0,B,120100,1000
93000770,0,772011,0,S,122400,600
93000770,0,772459,0,B,110600,1000
93000770,0,772657,0,S,122400,100
93000780,0,773226,0,S,123000,2000
93000780,0,773304,0,S,130000,3000
93000780,0,773574,0,S,125600,1000
93000780,0,773715,0,S,129600,7500
93000790,0,774524,0,B,117500,100
93000790,0,775097,0,B,119000,2000
93000800,0,775633,0,S,124000,500
93000800,0,775752,0,S,127000,5500
93000800,0,776794,0,S,124100,800
93000800,0,776915,0,S,124200,1000
93000800,0,777480,0,S,124900,5100
93000810,0,777797,0,B,119000,300
93000810,0,778378,0,S,126800,3000
93000810,0,778554,0,S,124300,1200
93000820,0,779624,0,B,120100,300
93000820,0,780605,0,B,121600,100
93000820,0,781036,0,B,118600,2400
93000820,0,781342,0,S,123600,2600
93000830,0,782568,0,B,122200,100
93000830,0,782771,0,B,115900,5000
93000830,0,782836,0,S,122000,2400
93000830,0,783123,0,B,122000,200
93000830,0,783233,0,S,130800,5000
